Contig	Gene	Length	Gene id	function	Hit	Contig	Gene	Gene id	percent identity 1587.866	function
1	22	118	fig|1587.864.peg.22	hypothetical protein	bi	930	1048	fig|1587.866.peg.1048	95.74	FIG00752846: hypothetical protein
1	23	67	fig|1587.864.peg.23	Transcriptional regulator, Xre family	bi	930	1049	fig|1587.866.peg.1049	100	Transcriptional regulator, Xre family
1	24	213	fig|1587.864.peg.24	Probable iron export ATP-binding protein FetA	bi	930	1050	fig|1587.866.peg.1050	98.11	Probable iron export ATP-binding protein FetA
1	25	253	fig|1587.864.peg.25	Probable iron export permease protein FetB	bi	930	1051	fig|1587.866.peg.1051	99.21	Probable iron export permease protein FetB
1	26	127	fig|1587.864.peg.26	NAD-dependent protein deacetylase of SIR2 family	bi	930	1052	fig|1587.866.peg.1052	98.59	hypothetical protein
1	27	120	fig|1587.864.peg.27	hypothetical protein	uni	930	1974	fig|1587.866.peg.1974	73.95	NAD-dependent protein deacetylase of SIR2 family
1	28	420	fig|1587.864.peg.28	hypothetical protein	uni	930	1052	fig|1587.866.peg.1052	95.6	hypothetical protein
1	29	175	fig|1587.864.peg.29	Transcriptional regulator, TetR family	bi	930	1054	fig|1587.866.peg.1054	97.13	Transcriptional regulator, TetR family
1	30	431	fig|1587.864.peg.30	hypothetical protein	bi	930	1055	fig|1587.866.peg.1055	98.61	hypothetical protein
1	31	272	fig|1587.864.peg.31	Probable dipeptidase B (EC 3.4.-.-)	bi	930	1056	fig|1587.866.peg.1056	96.64	Probable dipeptidase B (EC 3.4.-.-)
1	32	42	fig|1587.864.peg.32	hypothetical protein	-	 		 	0	 
1	33	182	fig|1587.864.peg.33	Probable dipeptidase B (EC 3.4.-.-)	uni	930	1056	fig|1587.866.peg.1056	87.04	Probable dipeptidase B (EC 3.4.-.-)
1	34	41	fig|1587.864.peg.34	hypothetical protein	bi	930	1057	fig|1587.866.peg.1057	100	hypothetical protein
1	35	462	fig|1587.864.peg.35	hypothetical protein	bi	930	1058	fig|1587.866.peg.1058	99.13	hypothetical protein
1	36	258	fig|1587.864.peg.36	Uncharacterized DUF1113 membrane protein family	bi	930	1059	fig|1587.866.peg.1059	98.44	Uncharacterized DUF1113 membrane protein family
1	37	187	fig|1587.864.peg.37	ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	bi	930	1060	fig|1587.866.peg.1060	98.39	ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)
1	38	175	fig|1587.864.peg.38	Substrate-specific component CbrT of predicted cobalamin ECF transporter	bi	930	1061	fig|1587.866.peg.1061	98.28	Substrate-specific component CbrT of predicted cobalamin ECF transporter
1	39	131	fig|1587.864.peg.39	Additional lipoprotein component of predicted cobalamin ECF transporter	bi	930	1062	fig|1587.866.peg.1062	91.18	Additional lipoprotein component of predicted cobalamin ECF transporter
1	40	745	fig|1587.864.peg.40	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	bi	930	1063	fig|1587.866.peg.1063	99.06	Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)
1	41	345	fig|1587.864.peg.41	UPF0118 membrane protein YdbI	bi	930	1064	fig|1587.866.peg.1064	98.84	UPF0118 membrane protein YdbI
1	42	191	fig|1587.864.peg.42	Esterase	bi	930	1065	fig|1587.866.peg.1065	97.37	Esterase
1	43	61	fig|1587.864.peg.43	hypothetical protein	-	 		 	0	 
1	44	113	fig|1587.864.peg.44	hypothetical protein	bi	930	2818	fig|1587.866.peg.2818	83.64	hypothetical protein
1	45	254	fig|1587.864.peg.45	ABC transporter, ATP-binding protein (cluster 15, trp?)	bi	930	1075	fig|1587.866.peg.1075	85.77	ABC transporter, ATP-binding protein (cluster 15, trp?)
1	46	299	fig|1587.864.peg.46	ABC transporter, permease protein (cluster 15, trp?)	bi	930	1076	fig|1587.866.peg.1076	91.28	ABC transporter, permease protein (cluster 15, trp?)
1	47	331	fig|1587.864.peg.47	ABC transporter, substrate-binding protein (cluster 15, trp?)	bi	930	1077	fig|1587.866.peg.1077	80	ABC transporter, substrate-binding protein (cluster 15, trp?)
1	48	236	fig|1587.864.peg.48	2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	bi	930	1079	fig|1587.866.peg.1079	90.64	2-haloalkanoic acid dehalogenase (EC 3.8.1.2)
1	49	469	fig|1587.864.peg.49	Ribosome protection-type tetracycline resistance related proteins, group 2	bi	930	1083	fig|1587.866.peg.1083	76.76	Ribosome protection-type tetracycline resistance related proteins, group 2
1	50	274	fig|1587.864.peg.50	N-formylglutamate deformylase (EC 3.5.1.68)	bi	930	1085	fig|1587.866.peg.1085	96.55	N-formylglutamate deformylase (EC 3.5.1.68)
1	51	79	fig|1587.864.peg.51	hypothetical protein	-	 		 	0	 
1	52	95	fig|1587.864.peg.52	FIG00745143: hypothetical protein	uni	930	1987	fig|1587.866.peg.1987	29.11	hypothetical protein
1	53	338	fig|1587.864.peg.53	D-lactate dehydrogenase (EC 1.1.1.28)	bi	930	1086	fig|1587.866.peg.1086	98.22	D-lactate dehydrogenase (EC 1.1.1.28)
1	54	281	fig|1587.864.peg.54	Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation	bi	930	1087	fig|1587.866.peg.1087	97.86	Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation
1	55	276	fig|1587.864.peg.55	Exodeoxyribonuclease III (EC 3.1.11.2)	bi	930	1088	fig|1587.866.peg.1088	99.64	Exodeoxyribonuclease III (EC 3.1.11.2)
1	56	85	fig|1587.864.peg.56	contains amino acid permease domain	-	 		 	0	 
1	57	383	fig|1587.864.peg.57	Probable glutamate/gamma-aminobutyrate antiporter	bi	930	1089	fig|1587.866.peg.1089	98.55	hypothetical protein
1	58	944	fig|1587.864.peg.58	DNA or RNA helicase of superfamily II	bi	930	1090	fig|1587.866.peg.1090	99.26	DNA or RNA helicase of superfamily II
1	59	337	fig|1587.864.peg.59	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	bi	930	1091	fig|1587.866.peg.1091	97.92	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily
1	60	38	fig|1587.864.peg.60	hypothetical protein	bi	930	1092	fig|1587.866.peg.1092	94.59	hypothetical protein
1	61	138	fig|1587.864.peg.61	Peptide deformylase (EC 3.5.1.88)	bi	930	1093	fig|1587.866.peg.1093	98.54	Peptide deformylase (EC 3.5.1.88)
1	62	1842	fig|1587.864.peg.62	hypothetical protein	-	 		 	0	 
1	63	57	fig|1587.864.peg.63	Branched-chain amino acid transport system carrier protein	bi	930	1095	fig|1587.866.peg.1095	96.15	hypothetical protein
1	64	105	fig|1587.864.peg.64	hypothetical protein	bi	930	1096	fig|1587.866.peg.1096	100	hypothetical protein
1	65	215	fig|1587.864.peg.65	Transcriptional regulator, LysR family	bi	930	1097	fig|1587.866.peg.1097	98.43	contains transcriptional regulator helix-turn-helix domain, lysR family
1	66	210	fig|1587.864.peg.66	Transcriptional regulator, LysR family	bi	930	1098	fig|1587.866.peg.1098	99.04	Transcriptional regulator, LysR family
1	67	290	fig|1587.864.peg.67	hypothetical protein	bi	930	1100	fig|1587.866.peg.1100	98.96	hypothetical protein
1	68	316	fig|1587.864.peg.68	hypothetical protein	bi	930	1102	fig|1587.866.peg.1102	100	hypothetical protein
1	69	319	fig|1587.864.peg.69	hypothetical protein	bi	930	1103	fig|1587.866.peg.1103	99.06	hypothetical protein
1	70	279	fig|1587.864.peg.70	Putative glycosyltransferase	bi	930	1104	fig|1587.866.peg.1104	89.57	Putative glycosyltransferase
1	71	253	fig|1587.864.peg.71	hypothetical protein	bi	930	1108	fig|1587.866.peg.1108	84.52	hypothetical protein
1	72	73	fig|1587.864.peg.72	Transposase	bi	447	482	fig|1587.866.peg.482	100	Transposase
1	73	244	fig|1587.864.peg.73	hypothetical protein	bi	930	1110	fig|1587.866.peg.1110	88.57	hypothetical protein
1	74	74	fig|1587.864.peg.74	FIG00742639: hypothetical protein	bi	930	1112	fig|1587.866.peg.1112	95.89	FIG00742639: hypothetical protein
1	75	239	fig|1587.864.peg.75	Two-component response regulator SA14-24	bi	930	1113	fig|1587.866.peg.1113	99.16	Two-component response regulator SA14-24
1	76	620	fig|1587.864.peg.76	Two-component sensor kinase SA14-24	bi	930	1114	fig|1587.866.peg.1114	98.87	Two-component sensor kinase SA14-24
1	77	450	fig|1587.864.peg.77	Two-component system YycFG regulatory protein YycH	bi	930	1115	fig|1587.866.peg.1115	98.22	Two-component system YycFG regulatory protein YycH
1	78	275	fig|1587.864.peg.78	Distant homolog of hypothetical protein SA_21	bi	930	1116	fig|1587.866.peg.1116	98.54	Distant homolog of hypothetical protein SA_21
1	79	266	fig|1587.864.peg.79	Zn-dependent hydrolase YycJ/WalJ, required for cell wall metabolism and coordination of cell division with DNA replication	bi	930	1117	fig|1587.866.peg.1117	99.25	Zn-dependent hydrolase YycJ/WalJ, required for cell wall metabolism and coordination of cell division with DNA replication
1	80	414	fig|1587.864.peg.80	Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)	bi	930	1118	fig|1587.866.peg.1118	98.79	Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)
1	81	211	fig|1587.864.peg.81	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)	bi	930	1119	fig|1587.866.peg.1119	97.73	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)
1	82	56	fig|1587.864.peg.82	hypothetical protein	-	 		 	0	 
1	83	293	fig|1587.864.peg.83	hypothetical protein	uni	930	3033	fig|1587.866.peg.3033	37.93	hypothetical protein
1	84	326	fig|1587.864.peg.84	Bacteriocin helveticin	uni	930	1275	fig|1587.866.peg.1275	55.12	Bacteriocin helveticin
1	85	364	fig|1587.864.peg.85	N-acetylmuramoyl-L-alanine amidase family 4 (EC 3.5.1.28), needed for cell separation and autolysis	uni	930	1080	fig|1587.866.peg.1080	53.75	Surface layer protein
1	86	295	fig|1587.864.peg.86	Proline iminopeptidase (EC 3.4.11.5)	bi	930	1120	fig|1587.866.peg.1120	97.96	Proline iminopeptidase (EC 3.4.11.5)
1	87	218	fig|1587.864.peg.87	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	bi	930	1121	fig|1587.866.peg.1121	95.85	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine
1	88	450	fig|1587.864.peg.88	Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	bi	930	1122	fig|1587.866.peg.1122	98.44	Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine
1	89	314	fig|1587.864.peg.89	Transcriptional regulator, AraC family	bi	930	1123	fig|1587.866.peg.1123	99.36	Transcriptional regulator, AraC family
1	90	299	fig|1587.864.peg.90	Heat shock protein HtpX	bi	930	1128	fig|1587.866.peg.1128	99.33	Heat shock protein HtpX
1	91	187	fig|1587.864.peg.91	LemA protein	bi	930	1129	fig|1587.866.peg.1129	99.46	LemA protein
1	92	369	fig|1587.864.peg.92	Inner membrane protein YbiR, putative anion permease	bi	930	1130	fig|1587.866.peg.1130	98.37	Inner membrane protein YbiR, putative anion permease
1	93	135	fig|1587.864.peg.93	hypothetical protein	bi	930	1131	fig|1587.866.peg.1131	100	hypothetical protein
1	94	596	fig|1587.864.peg.94	membrane-anchoring domain / Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	uni	930	2368	fig|1587.866.peg.2368	32.39	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
1	95	47	fig|1587.864.peg.95	hypothetical protein	bi	930	1133	fig|1587.866.peg.1133	100	hypothetical protein
1	96	287	fig|1587.864.peg.96	hypothetical protein	bi	930	1134	fig|1587.866.peg.1134	88.94	hypothetical protein
1	97	436	fig|1587.864.peg.97	Glycosyl transferase, group 2 family	-	 		 	0	 
1	98	375	fig|1587.864.peg.98	hypothetical protein	bi	930	1136	fig|1587.866.peg.1136	90.97	putative beta-glucanase precursor( EC:3.2.1.- )
1	99	216	fig|1587.864.peg.99	Nucleotidase YfbR, HD superfamily	bi	930	1138	fig|1587.866.peg.1138	98.6	Nucleotidase YfbR, HD superfamily
1	100	284	fig|1587.864.peg.100	hypothetical protein	bi	930	1139	fig|1587.866.peg.1139	98.23	hypothetical protein
1	101	252	fig|1587.864.peg.101	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)	bi	930	1140	fig|1587.866.peg.1140	98.01	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)
1	102	538	fig|1587.864.peg.102	ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines) / ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)	bi	930	1141	fig|1587.866.peg.1141	98.51	ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines) / ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)
1	103	211	fig|1587.864.peg.103	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	bi	930	1142	fig|1587.866.peg.1142	98.1	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)
1	104	121	fig|1587.864.peg.104	DUF488 family protein SAV0238	bi	930	1143	fig|1587.866.peg.1143	98.33	DUF488 family protein SAV0238
1	105	261	fig|1587.864.peg.105	Uncharacterized membrane protein YceF	bi	930	1144	fig|1587.866.peg.1144	96.18	Uncharacterized membrane protein YceF
1	106	42	fig|1587.864.peg.106	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	bi	930	1145	fig|1587.866.peg.1145	97.56	hypothetical protein
1	107	122	fig|1587.864.peg.107	hypothetical protein	uni	930	1145	fig|1587.866.peg.1145	85.56	hypothetical protein
1	108	61	fig|1587.864.peg.108	NAD-dependent protein deacetylase of SIR2 family	uni	930	1146	fig|1587.866.peg.1146	98.33	NAD-dependent protein deacetylase of SIR2 family
1	109	130	fig|1587.864.peg.109	NAD-dependent protein deacetylase of SIR2 family	bi	930	1146	fig|1587.866.peg.1146	98.39	NAD-dependent protein deacetylase of SIR2 family
1	110	160	fig|1587.864.peg.110	hypothetical protein	bi	930	1147	fig|1587.866.peg.1147	98.74	hypothetical protein
1	111	486	fig|1587.864.peg.111	Cardiolipin synthase, bacterial type ClsA	bi	930	1148	fig|1587.866.peg.1148	99.18	Cardiolipin synthase, bacterial type ClsA
1	112	309	fig|1587.864.peg.112	Cell surface hydrolase	bi	930	1149	fig|1587.866.peg.1149	98.05	Cell surface hydrolase
1	113	253	fig|1587.864.peg.113	Caulimovirus viroplasmin / Ribonuclease HI (EC 3.1.26.4)	bi	930	1150	fig|1587.866.peg.1150	98.41	Caulimovirus viroplasmin / Ribonuclease HI (EC 3.1.26.4)
1	114	315	fig|1587.864.peg.114	Extracellular protein	bi	930	1151	fig|1587.866.peg.1151	98.41	Extracellular protein
1	115	272	fig|1587.864.peg.115	Glycosyltransferase	bi	930	1152	fig|1587.866.peg.1152	98.89	Glycosyltransferase
1	116	219	fig|1587.864.peg.116	Hydrolase, alpha/beta fold family	bi	930	1153	fig|1587.866.peg.1153	99.08	Hydrolase, alpha/beta fold family
1	117	213	fig|1587.864.peg.117	Saccharopine dehydrogenase related protein	bi	930	1154	fig|1587.866.peg.1154	97.64	Saccharopine dehydrogenase related protein
1	118	140	fig|1587.864.peg.118	FIG00747557: hypothetical protein	bi	930	1155	fig|1587.866.peg.1155	90.65	hypothetical protein
1	119	329	fig|1587.864.peg.119	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	bi	930	1156	fig|1587.866.peg.1156	99.08	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)
1	120	228	fig|1587.864.peg.120	Transcriptional regulator, AcrR family	bi	930	1157	fig|1587.866.peg.1157	97.36	Transcriptional regulator, AcrR family
1	121	275	fig|1587.864.peg.121	hypothetical protein	bi	930	1158	fig|1587.866.peg.1158	98.54	hypothetical protein
1	122	495	fig|1587.864.peg.122	ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines) / ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)	bi	930	1159	fig|1587.866.peg.1159	98.99	ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines) / ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)
1	123	246	fig|1587.864.peg.123	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)	bi	930	1160	fig|1587.866.peg.1160	99.18	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)
1	124	412	fig|1587.864.peg.124	hypothetical protein	bi	930	1161	fig|1587.866.peg.1161	97.75	hypothetical protein
1	125	361	fig|1587.864.peg.125	D-alanine--D-alanine ligase (EC 6.3.2.4)	bi	930	1162	fig|1587.866.peg.1162	98.61	D-alanine--D-alanine ligase (EC 6.3.2.4)
1	126	247	fig|1587.864.peg.126	hypothetical protein	bi	930	1163	fig|1587.866.peg.1163	98.37	hypothetical protein
1	127	378	fig|1587.864.peg.127	YibE/F family protein	bi	930	1164	fig|1587.866.peg.1164	98.67	YibE/F family protein
1	128	262	fig|1587.864.peg.128	Integral membrane protein	bi	930	1165	fig|1587.866.peg.1165	99.23	Integral membrane protein
1	129	274	fig|1587.864.peg.129	Lipase/esterase	bi	930	1166	fig|1587.866.peg.1166	100	Lipase/esterase
1	130	72	fig|1587.864.peg.130	FIG00753781: hypothetical protein	-	 		 	0	 
1	131	1006	fig|1587.864.peg.131	Maltodextrin glucosidase (EC 3.2.1.20)	bi	930	1168	fig|1587.866.peg.1168	99	Maltodextrin glucosidase (EC 3.2.1.20)
1	132	159	fig|1587.864.peg.132	Nucleoside deoxyribosyltransferase (EC 2.4.2.6)	bi	930	1169	fig|1587.866.peg.1169	100	Nucleoside deoxyribosyltransferase (EC 2.4.2.6)
1	133	166	fig|1587.864.peg.133	PTS system, galactose-specific IIA component (EC 2.7.1.204)	bi	930	1170	fig|1587.866.peg.1170	96.97	PTS system, galactose-specific IIA component (EC 2.7.1.204)
1	134	268	fig|1587.864.peg.134	Protein tyrosine/serine phosphatase	bi	930	1171	fig|1587.866.peg.1171	99.25	Protein tyrosine/serine phosphatase
1	135	164	fig|1587.864.peg.135	Universal stress protein family	bi	930	1172	fig|1587.866.peg.1172	98.16	Universal stress protein family
1	136	33	fig|1587.864.peg.136	hypothetical protein	-	 		 	0	 
1	137	312	fig|1587.864.peg.137	ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates)	bi	930	1173	fig|1587.866.peg.1173	98.39	ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates)
1	138	265	fig|1587.864.peg.138	ABC transporter, ATP-binding protein (cluster 12, methionine/phosphonates)	bi	930	1174	fig|1587.866.peg.1174	98.83	ABC transporter, ATP-binding protein (cluster 12, methionine/phosphonates)
1	139	266	fig|1587.864.peg.139	ABC transporter, permease protein (cluster 12, methionine/phosphonates)	bi	930	1175	fig|1587.866.peg.1175	97.36	ABC transporter, permease protein (cluster 12, methionine/phosphonates)
1	140	271	fig|1587.864.peg.140	ABC transporter, permease protein (cluster 12, methionine/phosphonates)	bi	930	1176	fig|1587.866.peg.1176	98.15	ABC transporter, permease protein (cluster 12, methionine/phosphonates)
1	141	38	fig|1587.864.peg.141	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	bi	930	1178	fig|1587.866.peg.1178	94.59	DNA-3-methyladenine glycosylase (EC 3.2.2.20)
1	142	154	fig|1587.864.peg.142	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	uni	930	1178	fig|1587.866.peg.1178	85.27	DNA-3-methyladenine glycosylase (EC 3.2.2.20)
1	143	162	fig|1587.864.peg.143	hypothetical protein	bi	930	1179	fig|1587.866.peg.1179	98.76	hypothetical protein
1	144	466	fig|1587.864.peg.144	hypothetical protein	bi	930	1180	fig|1587.866.peg.1180	99.78	hypothetical protein
1	145	650	fig|1587.864.peg.145	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	bi	930	1181	fig|1587.866.peg.1181	99.54	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
1	146	428	fig|1587.864.peg.146	probably carbamoylphosphate synthase large subunit, evidenced by COGnitor	bi	930	1182	fig|1587.866.peg.1182	99.77	probably carbamoylphosphate synthase large subunit, evidenced by COGnitor
1	147	35	fig|1587.864.peg.147	hypothetical protein	bi	930	1184	fig|1587.866.peg.1184	80.95	FIG00743812: hypothetical protein
1	148	740	fig|1587.864.peg.148	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	bi	930	1185	fig|1587.866.peg.1185	99.59	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)
1	149	238	fig|1587.864.peg.149	Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	bi	930	1186	fig|1587.866.peg.1186	100	Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)
1	150	190	fig|1587.864.peg.150	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	bi	930	1187	fig|1587.866.peg.1187	99.47	PaaD-like protein (DUF59) involved in Fe-S cluster assembly
1	151	398	fig|1587.864.peg.151	Hemerythrin domain protein	bi	930	1188	fig|1587.866.peg.1188	99.75	Hemerythrin domain protein
1	152	406	fig|1587.864.peg.152	Uncharacterized MFS-type transporter	bi	930	1189	fig|1587.866.peg.1189	97.78	Uncharacterized MFS-type transporter
1	153	648	fig|1587.864.peg.153	endopeptidase O	bi	930	1190	fig|1587.866.peg.1190	98.92	endopeptidase O
1	154	47	fig|1587.864.peg.154	hypothetical protein	bi	930	1191	fig|1587.866.peg.1191	96.15	hypothetical protein
1	155	429	fig|1587.864.peg.155	hypothetical protein	-	 		 	0	 
1	156	674	fig|1587.864.peg.156	Kup system potassium uptake protein	bi	930	1192	fig|1587.866.peg.1192	97.33	Kup system potassium uptake protein
1	157	171	fig|1587.864.peg.157	hypothetical protein	bi	144	149	fig|1587.866.peg.149	97.22	hypothetical protein
1	158	33	fig|1587.864.peg.158	hypothetical protein	bi	930	1194	fig|1587.866.peg.1194	85.19	hypothetical protein
1	159	134	fig|1587.864.peg.159	hypothetical protein	bi	930	1195	fig|1587.866.peg.1195	98.25	hypothetical protein
1	160	72	fig|1587.864.peg.160	FIG00751800: hypothetical protein	bi	930	1196	fig|1587.866.peg.1196	97.18	FIG00751800: hypothetical protein
1	161	90	fig|1587.864.peg.161	FIG00743671: hypothetical protein	bi	930	1197	fig|1587.866.peg.1197	92.31	FIG00743671: hypothetical protein
1	162	506	fig|1587.864.peg.162	N-acetylmuramoyl-L-alanine amidase family 4 (EC 3.5.1.28), needed for cell separation and autolysis	bi	930	1198	fig|1587.866.peg.1198	88.73	N-acetylmuramoyl-L-alanine amidase family 4 (EC 3.5.1.28), needed for cell separation and autolysis
1	163	54	fig|1587.864.peg.163	FIG00751874: hypothetical protein	bi	930	1199	fig|1587.866.peg.1199	100	FIG00751874: hypothetical protein
1	164	76	fig|1587.864.peg.164	DNA-directed RNA polymerase specialized sigma subunit	uni	930	1200	fig|1587.866.peg.1200	93.33	DNA-directed RNA polymerase specialized sigma subunit, sigma24-like
1	165	47	fig|1587.864.peg.165	DNA-directed RNA polymerase specialized sigma subunit	bi	930	1200	fig|1587.866.peg.1200	100	DNA-directed RNA polymerase specialized sigma subunit, sigma24-like
1	166	130	fig|1587.864.peg.166	hypothetical protein	uni	930	1201	fig|1587.866.peg.1201	96.9	hypothetical protein
1	167	67	fig|1587.864.peg.167	hypothetical protein	bi	930	1201	fig|1587.866.peg.1201	100	hypothetical protein
1	168	408	fig|1587.864.peg.168	N-acetylmuramoyl-L-alanine amidase family 4 (EC 3.5.1.28), needed for cell separation and autolysis	bi	930	1202	fig|1587.866.peg.1202	95.33	N-acetylmuramoyl-L-alanine amidase family 4 (EC 3.5.1.28), needed for cell separation and autolysis
1	169	364	fig|1587.864.peg.169	Autolysin, amidase	bi	930	1203	fig|1587.866.peg.1203	97.52	Autolysin, amidase
1	170	612	fig|1587.864.peg.170	Na(+)/H(+) antiporter	bi	930	1204	fig|1587.866.peg.1204	99.18	Na(+)/H(+) antiporter
1	171	67	fig|1587.864.peg.171	Prophage ps3 protein 01	uni	930	1205	fig|1587.866.peg.1205	95.08	hypothetical protein
1	172	200	fig|1587.864.peg.172	Prophage ps3 protein 01	bi	930	1205	fig|1587.866.peg.1205	98.86	hypothetical protein
1	173	322	fig|1587.864.peg.173	NAD-dependent oxidoreductase	bi	930	1207	fig|1587.866.peg.1207	96.88	NAD-dependent oxidoreductase
1	174	100	fig|1587.864.peg.174	DNA polymerase (EC 2.7.7.7)	bi	930	1208	fig|1587.866.peg.1208	94.9	DNA polymerase (EC 2.7.7.7)
1	175	64	fig|1587.864.peg.175	hypothetical protein	bi	417	447	fig|1587.866.peg.447	78.26	hypothetical protein
1	176	38	fig|1587.864.peg.176	hypothetical protein	-	 		 	0	 
